Time(s),   F(+)/E (deg),   Vr/Vl(+) (deg),   I/E(+) (deg),   M/L(+) (mm),   A(+)/P (mm),   S(+)/I (mm)
0.000000,   -6.125385,   0.804505,   2.170308,   0.774486,   2.747468,   -22.380784,   
0.020000,   -3.810366,   -1.181748,   4.169254,   1.645579,   5.508102,   -20.531599,   
0.040000,   -1.373440,   -1.231341,   2.830976,   1.742756,   4.881065,   -20.253170,   
0.060000,   1.063525,   -1.418835,   2.851021,   2.005742,   4.320645,   -20.041987,   
0.080000,   3.500495,   -1.599947,   2.931930,   2.255213,   3.792194,   -19.862156,   
0.100000,   5.937469,   -1.759120,   2.885663,   2.493540,   3.298148,   -19.686512,   
0.120000,   8.374444,   -1.902691,   2.819112,   2.721069,   2.835405,   -19.514741,   
0.140000,   10.811420,   -2.032185,   2.782529,   2.951669,   2.377911,   -19.350375,   
0.160000,   13.248397,   -2.151217,   2.784608,   3.178599,   1.934903,   -19.186102,   
0.180000,   15.685373,   -2.267111,   2.816830,   3.395087,   1.516041,   -19.011446,   
0.200000,   18.122350,   -2.380556,   2.860085,   3.600002,   1.112951,   -18.824476,   
0.220000,   20.559326,   -2.487123,   2.882684,   3.791900,   0.717726,   -18.626892,   
0.240000,   22.996304,   -2.582870,   2.869827,   3.974725,   0.331139,   -18.420330,   
0.260000,   25.433282,   -2.666274,   2.814844,   4.155237,   -0.042083,   -18.203449,   
0.280000,   27.870261,   -2.735116,   2.712560,   4.329229,   -0.399289,   -17.977828,   
0.300000,   30.307241,   -2.789821,   2.564513,   4.498086,   -0.736750,   -17.743829,   
0.320000,   32.744220,   -2.826794,   2.363143,   4.668162,   -1.056287,   -17.501184,   
0.340000,   35.181200,   -2.841956,   2.099451,   4.830179,   -1.357255,   -17.254022,   
0.360000,   37.618183,   -2.830118,   1.774413,   4.986424,   -1.635320,   -16.999724,   
0.380000,   40.055165,   -2.782266,   1.405816,   5.129653,   -1.890008,   -16.738204,   
0.400000,   42.492150,   -2.696944,   0.999689,   5.251776,   -2.117140,   -16.471961,   
0.420000,   44.929137,   -2.575184,   0.558628,   5.356675,   -2.313166,   -16.198178,   
0.440000,   47.366125,   -2.411873,   0.112774,   5.436539,   -2.477004,   -15.917026,   
0.460000,   49.803113,   -2.211235,   -0.304215,   5.483613,   -2.603382,   -15.626430,   
0.480000,   52.240103,   -1.980265,   -0.690424,   5.500732,   -2.689965,   -15.324926,   
0.500000,   54.677093,   -1.725049,   -1.039832,   5.489014,   -2.737768,   -15.013413,   
0.520000,   57.114084,   -1.449796,   -1.350113,   5.452631,   -2.749827,   -14.692355,   
0.540000,   59.551073,   -1.157152,   -1.637517,   5.392864,   -2.729607,   -14.361825,   
0.560000,   61.988066,   -0.846547,   -1.911547,   5.308000,   -2.679421,   -14.024902,   
0.580000,   64.425056,   -0.519816,   -2.167208,   5.203844,   -2.599749,   -13.682190,   
0.600000,   66.862050,   -0.176560,   -2.406666,   5.080647,   -2.492238,   -13.336985,   
0.620000,   69.299042,   0.180236,   -2.636902,   4.943907,   -2.356759,   -12.987873,   
0.640000,   71.736031,   0.551886,   -2.897221,   4.785443,   -2.194645,   -12.636148,   
0.660000,   74.173025,   0.939577,   -3.174927,   4.610884,   -2.003533,   -12.281246,   
0.680000,   76.610017,   1.335251,   -3.455115,   4.423837,   -1.781655,   -11.921396,   
0.700000,   79.047010,   1.733885,   -3.727051,   4.226792,   -1.528356,   -11.555584,   
0.720000,   81.484001,   2.129615,   -3.982037,   4.022772,   -1.243251,   -11.182268,   
0.740000,   83.920991,   2.519276,   -4.218595,   3.809922,   -0.926970,   -10.805440,   
0.760000,   86.357979,   2.902177,   -4.444650,   3.589387,   -0.579296,   -10.427216,   
0.780000,   88.794975,   3.271817,   -4.660466,   3.359718,   -0.199706,   -10.049821,   
0.800000,   87.161149,   3.584318,   -4.847167,   3.140074,   0.212995,   -9.697069,   
0.820000,   89.567669,   3.773378,   -4.932047,   3.021217,   0.655635,   -9.363959,   
0.840000,   91.740648,   3.880846,   -4.951508,   2.972526,   1.085874,   -9.072771,   
0.860000,   93.642846,   3.943349,   -4.947057,   2.949697,   1.486352,   -8.826932,   
0.880000,   95.274272,   3.975632,   -4.930014,   2.938185,   1.847166,   -8.622411,   
0.900000,   96.634919,   3.983945,   -4.903402,   2.933634,   2.159982,   -8.457248,   
0.920000,   97.724791,   3.972728,   -4.865302,   2.938115,   2.418211,   -8.330092,   
0.940000,   98.543888,   3.950327,   -4.828571,   2.945468,   2.616554,   -8.240227,   
0.960000,   99.092203,   3.920725,   -4.797471,   2.951853,   2.751324,   -8.187683,   
0.980000,   99.369755,   3.884993,   -4.765484,   2.962295,   2.820076,   -8.170810,   
1.000000,   99.406981,   3.851650,   -4.740894,   2.969870,   2.829506,   -8.186929,   
1.020000,   99.406982,   3.827516,   -4.717404,   2.971839,   2.829901,   -8.205839,   
1.040000,   99.406982,   3.808493,   -4.696653,   2.971074,   2.830235,   -8.221173,   
1.060000,   99.406985,   3.792600,   -4.675688,   2.970569,   2.830519,   -8.233299,   
1.080000,   99.406980,   3.780020,   -4.655472,   2.969850,   2.830770,   -8.243213,   
1.100000,   99.406982,   3.769050,   -4.635362,   2.969443,   2.831001,   -8.251604,   
1.120000,   99.406983,   3.760547,   -4.620179,   2.967227,   2.831203,   -8.259174,   
1.140000,   99.406980,   3.753314,   -4.606817,   2.964782,   2.831380,   -8.265834,   
1.160000,   99.406979,   3.747015,   -4.594919,   2.962494,   2.831537,   -8.271682,   
1.180000,   99.406981,   3.741468,   -4.584039,   2.960421,   2.831683,   -8.276780,   
1.200000,   99.406982,   3.736894,   -4.574591,   2.958159,   2.831812,   -8.281221,   
1.220000,   99.406978,   3.732774,   -4.566046,   2.956315,   2.831918,   -8.285053,   
1.240000,   99.406984,   3.729005,   -4.558054,   2.954945,   2.832019,   -8.288407,   
1.260000,   99.406985,   3.725696,   -4.550978,   2.953730,   2.832106,   -8.291328,   
1.280000,   99.406984,   3.722822,   -4.544687,   2.952707,   2.832181,   -8.293831,   
1.300000,   99.406983,   3.720315,   -4.539378,   2.951778,   2.832248,   -8.296099,   
